State,Abbreviation,state_code,Unemployment Rate Jan 2020,Unemployment Rate Feb 2020,Unemployment Rate Mar 2020,Unemployment Rate Apr 2020,Unemployment Rate May 2020,Unemployment Rate Jun 2020,Unemployment Rate Jul 2020,Unemployment Rate Aug 2020,Unemployment Rate Sept 2020,Unemployment Rate Oct 2020,Unemployment Rate Nov 2020,Unemployment Rate Dec 2020,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races
Kansas,Kans.,KS,3.1,3.1,2.8,11.9,10,7.5,7.2,6.9,5.9,5,5.1,3.8,0.757,0.055,0.122,0.028,0.006,N/A,0.032
Kentucky,Ky.,KY,4.3,4.2,5.2,16.6,10.9,4.4,4.5,7.5,5.6,7.3,5.7,6,0.845,0.08,0.037,0.016,0.001,N/A,0.02
Louisiana,La.,LA,5.3,5.2,6.7,15.1,14.2,9.5,9.4,7.7,8,9.4,8.5,7.2,0.588,0.319,0.052,0.017,0.005,N/A,0.019
Maine,Maine,ME,3.1,3.2,3,10.4,9.4,6.7,9.9,7,6.1,5.4,4.9,4.9,0.932,0.014,0.017,0.011,0.007,N/A,0.019
Maryland,Md.,MD,3.3,3.3,3.3,10.1,10,8.3,7.8,7,7.6,7.7,6.8,6.3,0.499,0.296,0.106,0.064,0.002,N/A,0.032
Massachusetts,Mass.,MA,2.8,2.8,2.8,16.2,16.6,17.7,16.2,11.4,9.8,7.4,6.7,7.4,0.705,0.07,0.124,0.067,0.002,<.01,0.032
Michigan,Mich.,MI,3.8,3.6,4.3,24,21.3,14.9,8.7,8.7,8.6,6.1,7,7.5,0.749,0.134,0.053,0.032,0.005,N/A,0.027
Minnesota,Minn.,MN,3.2,3.1,2.9,8.7,9.9,8.6,7.6,7.4,5.9,4.6,4.5,4.4,0.791,0.064,0.056,0.049,0.009,N/A,0.03
Mississippi,Miss.,MS,5.5,5.4,5.1,16.3,10.5,8.8,9.4,7.8,7.2,7.4,6.3,6.2,0.566,0.376,0.03,0.01,0.004,N/A,0.014
Missouri,Mo.,MO,3.5,3.5,3.9,10.2,10.1,7.8,6.9,7,4.8,4.6,4.5,5.8,0.794,0.112,0.043,0.021,0.004,0.001,0.026
Montana,Mont.,MT,3.5,3.5,3.6,11.9,9,7.2,6.5,5.8,5.4,5,4.6,4.4,0.861,0.006,0.037,0.008,0.061,N/A,0.028
Nebraska,Nebr.,NE,2.9,2.9,4,8.7,5.3,5.5,4.9,4,3.6,3,3,3,0.785,0.048,0.113,0.024,0.008,N/A,0.021
Nevada,Nev.,NV,3.6,3.6,6.9,30.1,25.3,15.2,14.2,13.3,12.5,11.9,10.4,9.2,0.478,0.092,0.293,0.085,0.009,0.006,0.037
New Hampshire,N.H.,NH,2.6,2.6,2.4,17.1,15.4,9.2,8,6.6,5.8,4.2,3.9,4,0.898,0.013,0.039,0.026,N/A,N/A,0.021
New Jersey,N.J.,NJ,3.8,3.8,3.7,16.3,15.4,16.8,14.2,11.1,6.7,8,10.2,7.6,0.545,0.124,0.21,0.096,0.001,N/A,0.024
New Mexico,N.M.,NM,4.8,4.8,6.3,11.9,9.1,8.4,12.7,11.4,9.9,8.1,7.2,8.2,0.367,0.017,0.495,0.016,0.087,N/A,0.018
New York,N.Y.,NY,3.8,3.7,4.1,15.3,14.5,15.6,15.9,12.5,9.7,9.2,8.4,8.2,0.552,0.14,0.193,0.086,0.002,N/A,0.027
North Carolina,N.C.,NC,3.6,3.6,4.3,12.9,12.8,7.5,8.5,6.5,7.2,6.2,6.2,6.2,0.627,0.209,0.097,0.029,0.011,<.01,0.026
North Dakota,N.D.,ND,2.3,2.2,2,9.1,9.1,7.4,6.6,5,4.4,4.7,4.5,4.1,0.841,0.024,0.04,0.014,0.052,N/A,0.026
Ohio,Ohio,OH,4.1,4.1,5.8,17.6,13.9,11,9,8.9,8.3,6.1,5.7,5.5,0.786,0.122,0.04,0.023,0.001,N/A,0.028
Oklahoma,Okla.,OK,3.3,3.2,2.9,14.7,12.6,6.4,7.1,5.7,5.4,6.2,6.1,5.3,0.65,0.069,0.111,0.021,0.077,0.001,0.071
Oregon,Ore.,OR,3.3,3.3,3.5,14.9,14.3,11.6,10.4,8.5,7.9,6.8,6,6.4,0.75,0.018,0.134,0.047,0.009,0.003,0.04
Pennsylvania,Pa.,PA,4.7,4.7,5.8,16.1,13.4,13.2,12.5,10.4,8.3,7.4,6.8,6.7,0.76,0.104,0.078,0.035,0.001,<.01,0.023
