state_code,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act
MS,20200318,34,0,33,0,-0.26196523556592277,-0.49920239095869023,-0.7624910367779322,20200314,6,0,6,0,-0.13906819597367479,-0.3303085587341582,-0.6471109331144957,20200403,1358,29,779,21,-0.37097482702352835,-0.5807500645421341,-0.8099751384262996,20200403,1358,29,779,21,-0.37097482702352835,-0.5807500645421341,-0.8099751384262996
MT,20200318,12,0,12,0,-0.22611717934978295,-0.548381949017788,-0.9919547409892491,20200312,0,0,0,0,-0.19362954897815787,-0.27515221365558096,-0.9865289151430662,20200328,147,1,118,1,-0.36789531807830345,-0.6008610990750931,-0.9953154398756953,20200328,147,1,118,1,-0.36789531807830345,-0.6008610990750931,-0.9953154398756953
NC,20200318,66,0,58,0,-0.26205470568481265,-0.48902027394722897,-0.3964623844643402,20200310,7,0,6,0,-0.07929124188922272,-0.15538773637060418,0.38740688838931125,20200330,1302,6,1000,6,-0.37448127265746783,-0.5544003945378552,-0.5794363825538378,20200330,1302,6,1000,6,-0.37448127265746783,-0.5544003945378552,-0.5794363825538378
ND,20200318,7,0,6,0,-0.3296631822625802,-0.5531129077852538,-0.978793949152302,20200313,1,0,1,0,-0.25813285997211244,-0.31853037821006064,-0.9655456140521329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NE,20200318,43,0,20,0,-0.3180283913169646,-0.524796686679143,-0.9257932355233335,20200313,27,0,13,0,-0.2514465842521703,-0.3781418439803016,-0.8913814070192085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NH,20200318,39,0,34,0,-0.4024222438233757,-0.5549528985486403,-0.7883333864203117,20200313,7,0,5,0,-0.2766585713337186,-0.3414130389245166,-0.6630425935740042,20200328,214,2,149,2,-0.47260524900688583,-0.5922686835864547,-0.8749475324025892,20200328,214,2,149,2,-0.47260524900688583,-0.5922686835864547,-0.8749475324025892
NJ,20200318,427,5,404,4,-0.4574876881241853,-0.6930277713007834,0.9685595377391495,20200309,11,0,11,0,-0.16177810288079067,-0.2119276924347866,6.227944222615279,20200321,1336,16,1261,14,-0.4981371821499268,-0.7140746877803041,0.8465252029650073,20200321,1336,16,1261,14,-0.4981371821499268,-0.7140746877803041,0.8465252029650073
NM,20200318,28,0,24,0,-0.21273863952787492,-0.5177079360631661,-0.9723583645239559,20200311,4,0,4,0,-0.06693734578584351,-0.17856925256840991,-0.9518294000706206,20200324,100,0,77,0,-0.31592593811753805,-0.5783574818839609,-0.9790484583971697,20200324,100,0,77,0,-0.31592593811753805,-0.5783574818839609,-0.9790484583971697
NV,20200318,82,1,75,1,-0.47939436903456,-0.7197494134554768,-0.9415264404989122,20200312,11,0,9,0,-0.18428621971507417,-0.3556316085829106,-0.8139145382536265,nan,nan,nan,nan,nan,nan,nan,nan,20200331,1113,26,798,20,-0.5451236844642909,-0.7371255020078832,-0.9627860802016643
NY,20200318,2387,32,2170,32,-0.47070639478310305,-0.6539492925790091,-0.07373436760369888,20200307,89,0,89,0,-0.12060836522901251,-0.13306402772614817,3.1077942392116475,20200322,15188,142,14456,136,-0.532582471018175,-0.6905008896566487,-0.22172827192513309,20200322,15188,142,14456,136,-0.532582471018175,-0.6905008896566487,-0.22172827192513309
