state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
HI,2020-03-07,1,0,1,0,-11,3,-18,-18,-0.0036946897944077116,0.021679557400476158,1.5216024369024854,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-03-07,0,0,0,0,-11,-10,nan,nan,-0.02467821382356676,0.02309618134961191,-0.2528516487184653,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-03-07,0,0,0,0,-11,-6,-18,-18,-0.08045108787337935,0.01856287992480941,-0.8729560419145834,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-03-07,6,0,3,0,-11,-2,-14,-14,0.01573663475905347,0.04545852247576738,1.7202132935476258,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-03-07,1,0,1,0,-11,1,-18,-18,0.008349748509188012,0.029711789349301226,1.2928527283160098,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-03-07,1,0,1,0,-11,-5,nan,-23,0.0369172358699512,0.008968818986443193,-0.4931751919376698,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
KY,2020-03-07,1,0,1,0,-11,1,-19,-19,0.00358710932178925,0.03559924842058545,0.9715793524078532,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R
LA,2020-03-07,0,0,0,0,-11,-4,-16,-16,0.05572356319449085,0.048046832922661285,1.0795627422253211,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R
MA,2020-03-07,13,0,12,0,-11,-3,-17,-17,-0.0339371902954804,0.031532507931605364,4.165634557077632,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D
MD,2020-03-07,3,0,3,0,-11,2,-16,-23,0.011704621361727488,0.0193510072633877,3.5803645205136583,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D
