state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport,COMMUTING TO WORK-Workers 16 years and over,"COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled",Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Estimate-COMMUTING TO WORK-Workers 16 years and over-Mean travel time to work (minutes),Labour Overall Index Score,Labour Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score,Wage Dimension Score 2019,Wage Dimension ranking 2019,MIT Living Wage 2019,Minimum Wage 2019,Wage Ratio (Living wage/Minimum wage),Local Control of Min. Wage 2019 (1=Yes),Worker Protection Dimension 2020 Score,Worker Protection Dimension 2020 Ranking,"Family Leave Indicator (Job-protected leave for non-FMLA Workers < 1 year on job_0.5=Yes, 0.25=Yes for Pregnant Workers only)",Family Leave Indicator ( Job-protected leave longer than Federal FMLA),Paid Family Leave (Yes=1),Paid Sick Leave Indicator Law in Place (1=Yes),Flexible Scheduling (yes=1),Reporting Pay (yes=1),Split Shift Pay 2019 (yes=1),Advanced Shift Notice 2019 (yes=1)
MD,2020-04-04,3125,54,2059,44,17,30,12,5,-47.0,-22.0,1.0,-50.0,-39.0,16.0,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D,30.7,49.9,3021967,2233034,73.9,273373,9.0,258397,8.6,70350,2.3,44388,1.5,142425,4.7,32.9,70.55348996,13,58.88269209,52.77777778,100.0,58.88269209,12,29.53,10.1,0.342025059,1,52.77777778,13,0.0,0.0,0,1,0,0,0,0
ME,2020-04-04,456,10,245,9,17,20,10,3,-54.0,-24.0,13.0,-60.0,-34.0,14.0,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D,22.9,38.2,651799,511466,78.5,62978,9.7,4159,0.6,25602,3.9,10069,1.5,37525,5.8,24.0,83.98770175,5,97.79643857,54.16666667,100.0,97.79643857,2,25.25,11.0,0.435643564,1,54.16666667,11,0.5,0.0,0,0,0,0,0,0
MI,2020-04-04,14225,541,9591,429,17,3,12,11,-60.0,-26.0,2.0,-54.0,-45.0,17.0,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R,24.4,43.2,4504994,3714050,82.4,396427,8.8,61568,1.4,101150,2.2,56802,1.3,174997,3.9,24.5,38.38044125,28,54.03021263,27.77777778,33.33333333,54.03021263,13,24.2,9.45,0.390495868,0,27.77777778,33,0.0,0.0,0,0,0,0,0,0
MN,2020-04-04,865,24,423,19,17,22,nan,7,-51.0,-15.0,12.0,-55.0,-35.0,16.0,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D,23.7,37.9,2879806,2243581,77.9,244564,8.5,103390,3.6,78319,2.7,47012,1.6,162940,5.7,23.5,74.11829487,10,73.74377349,48.61111111,100.0,73.74377349,7,26.1,9.86,0.377777778,1,48.61111111,15,0.5,0.0,0,0,0,0,0,0
MO,2020-04-04,2291,44,1454,33,17,22,nan,-2,-48.0,-1.0,-24.0,-37.0,-31.0,13.0,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R,23.8,49.1,2855663,2338107,81.9,250024,8.8,40311,1.4,55495,1.9,33976,1.2,137750,4.8,23.6,40.22631361,26,31.79005195,22.22222222,66.66666667,31.79005195,26,25.52,8.6,0.33699059600000003,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
MS,2020-04-04,1455,35,786,22,17,21,1,1,-47.0,-13.0,-22.0,-37.0,-31.0,13.0,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R,23.0,38.6,1215697,1037238,85.3,111401,9.2,3393,0.3,17028,1.4,18858,1.6,27779,2.3,24.6,7.180489298,50,15.98591234,0.0,5.555555556,15.98591234,37,24.25,7.25,0.298969072,0,0.0,51,0.0,0.0,0,0,0,0,0,0
MT,2020-04-04,281,6,134,5,17,23,7,7,-49.0,-13.0,7.0,-37.0,-36.0,12.0,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R,17.3,33.9,499849,378154,75.7,48075,9.6,3852,0.8,25889,5.2,11376,2.3,32503,6.5,18.0,40.05461396,27,29.19161964,24.30555556,66.66666667,29.19161964,27,25.7,8.5,0.3307393,0,24.30555556,35,0.25,0.0,0,0,0,0,0,0
NC,2020-04-04,2402,30,1430,26,17,25,5,5,-41.0,-11.0,21.0,-48.0,-32.0,12.0,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R,24.4,41.8,4660377,3781646,81.1,434180,9.3,47381,1.0,85152,1.8,58980,1.3,253038,5.4,24.5,11.81737945,47,13.22991613,22.22222222,0.0,13.22991613,43,24.8,7.25,0.29233871,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
ND,2020-04-04,186,3,93,2,17,22,nan,nan,-53.0,-8.0,-27.0,-39.0,-26.0,15.0,Trade Transportation and Utilities,92.8,No,No,No,2.3,4.2,61843,AllR,1,R,18.6,32.6,398937,325252,81.5,34507,8.6,2150,0.5,13631,3.4,4474,1.1,18923,4.7,17.1,21.29263895,44,16.65569462,30.55555556,16.66666667,16.65569462,35,24.12,7.25,0.30058043100000004,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0
NE,2020-04-04,339,8,217,6,17,22,nan,nan,-43.0,-5.0,13.0,-22.0,-24.0,13.0,Trade Transportation and Utilities,198.6,No,No,No,3.9,3.6,59970,AllR,1,R,18.8,33.6,980914,803715,81.9,88467,9.0,6531,0.7,26141,2.7,12516,1.3,43544,4.4,18.6,49.47375558,22,42.86571119,38.88888889,66.66666667,42.86571119,21,24.75,9.0,0.363636364,0,38.88888889,19,0.0,0.0,0,0,0,0,0,0
