state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport,COMMUTING TO WORK-Workers 16 years and over,"COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled",Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Estimate-COMMUTING TO WORK-Workers 16 years and over-Mean travel time to work (minutes),Labour Overall Index Score,Labour Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score,Wage Dimension Score 2019,Wage Dimension ranking 2019,MIT Living Wage 2019,Minimum Wage 2019,Wage Ratio (Living wage/Minimum wage),Local Control of Min. Wage 2019 (1=Yes),Worker Protection Dimension 2020 Score,Worker Protection Dimension 2020 Ranking,"Family Leave Indicator (Job-protected leave for non-FMLA Workers < 1 year on job_0.5=Yes, 0.25=Yes for Pregnant Workers only)",Family Leave Indicator ( Job-protected leave longer than Federal FMLA),Paid Family Leave (Yes=1),Paid Sick Leave Indicator Law in Place (1=Yes),Flexible Scheduling (yes=1),Reporting Pay (yes=1),Split Shift Pay 2019 (yes=1),Advanced Shift Notice 2019 (yes=1),Annual State GDP for 2019,U.S. State Population 2019 Estimate,U.S. State Land Area (Square Miles),State Population Per Square Mile,Unemployment Rate Jan 2020,Unemployment Rate Feb 2020,Unemployment Rate Mar 2020,Unemployment Rate Apr 2020,Unemployment Rate May 2020,Unemployment Rate Jun 2020,Unemployment Rate Jul 2020,Unemployment Rate Aug 2020,Unemployment Rate Sept 2020,Unemployment Rate Oct 2020,Unemployment Rate Nov 2020,Unemployment Rate Dec 2020,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Senior Population,Young Population,Male Population,Median household income,Poverty rate
CO,2020-02-26,0,0,0,0,-21,-14,-29,-29,7.0,5.0,2.0,3.0,2.0,-1.0,Trade Transportation and Utilities,481.5,No,No,No,69117.0,MostD,4.0,D,24.9,43.2,2822072.0,2125477.0,75.3,249461.0,8.8,86516.0,3.1,80354.0,2.8,62050.0,2.2,218214.0,7.7,25.5,70.21292061,14.0,82.86098406,44.44444444,83.33333333,82.86098406,5.0,27.77,11.1,0.399711919,1.0,44.44444444,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390284000000.0,5758736,103641.89,55.56378796,2.5,2.5,5.2,12.2,10.2,10.6,7.4,6.7,6.4,6.4,6.4,8.4,0.678,0.038,0.218,0.032,0.005,0.001,0.028,14.7,18.1,50.4,77127.0,9.3
CT,2020-02-26,0,0,0,0,-21,-13,-26,-26,5.0,1.0,3.0,2.0,2.0,0.0,Education and Health Services,345.1,Yes,Yes,Yes,74168.0,AllD,5.0,D,25.0,46.9,1780653.0,1391925.0,78.2,143527.0,8.1,84347.0,4.7,49525.0,2.8,20763.0,1.2,90566.0,5.1,26.3,74.14720974,9.0,43.27496257,79.16666667,100.0,43.27496257,20.0,27.7,10.1,0.364620939,0.0,79.16666667,5.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,285640000000.0,3565287,4842.36,736.2705375,3.7,3.8,3.4,8.3,9.6,10.1,10.2,8.1,7.7,6.1,8.2,8.0,0.657,0.1,0.169,0.046,0.002,,0.026,17.6,16.6,48.9,78833.0,10.0
DC,2020-02-26,0,0,0,0,-21,-14,-28,-35,3.0,-3.0,-7.0,6.0,1.0,0.0,Government,239.7,Yes,Yes,Yes,82372.0,AllD,5.0,D,43.6,51.2,366168.0,125462.0,34.3,19531.0,5.3,127530.0,34.8,48047.0,13.1,23193.0,6.3,22405.0,6.1,30.3,96.75925926,1.0,100.0,90.27777778,100.0,100.0,1.0,31.75,14.0,0.440944882,1.0,90.27777778,2.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,146194000000.0,705749,61.05,11560.18018,5.2,5.1,6.0,11.7,8.8,8.7,8.5,8.6,9.0,8.3,7.5,7.9,0.367,0.45,0.112,0.037,0.003,,0.031,12.4,15.9,47.4,92266.0,13.5
DE,2020-02-26,0,0,0,0,-21,-16,-27,-27,7.0,2.0,0.0,3.0,2.0,-1.0,Trade Transportation and Utilities,82.8,No,No,No,62852.0,AllD,5.0,D,25.9,43.1,444908.0,360365.0,81.0,36601.0,8.2,11739.0,2.6,9518.0,2.1,5052.0,1.1,21633.0,4.9,25.8,61.74495202,16.0,35.23485605,50.0,100.0,35.23485605,25.0,26.79,9.25,0.345278089,0.0,50.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75415500000.0,973764,1948.54,499.7403184,4.0,3.9,5.0,14.9,15.9,12.6,10.5,8.9,8.3,5.6,5.1,5.3,0.614,0.218,0.097,0.039,0.003,,0.028,19.5,17.4,48.3,70176.0,11.3
FL,2020-02-26,0,0,0,0,-21,-12,nan,-37,5.0,1.0,-9.0,4.0,1.0,0.0,Trade Transportation and Utilities,"1,823.00",No,No,No,52594.0,Tie,3.0,R,27.4,48.6,9140393.0,7255390.0,79.4,841097.0,9.2,176146.0,1.9,129987.0,1.4,203254.0,2.2,534519.0,5.8,27.4,27.28284799,37.0,26.29298841,22.22222222,33.33333333,26.29298841,29.0,26.13,8.46,0.323765786,0.0,22.22222222,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093350000000.0,21477737,53624.76,400.5190326,2.8,2.8,4.4,13.8,13.7,10.3,11.4,7.3,7.2,6.4,6.3,6.1,0.53,0.15,0.266,0.027,0.002,0.001,0.024,20.9,16.4,48.9,59227.0,12.7
GA,2020-02-26,0,0,0,0,-21,-17,nan,-37,9.0,3.0,5.0,4.0,1.0,-1.0,Trade Transportation and Utilities,954.3,No,No,No,56183.0,AllR,1.0,R,28.5,50.2,4667378.0,3708394.0,79.5,456908.0,9.8,99181.0,2.1,69380.0,1.5,79013.0,1.7,254502.0,5.5,28.4,11.4775306,48.0,9.432591814,13.88888889,11.11111111,9.432591814,50.0,25.6,7.25,0.283203125,0.0,13.88888889,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616333000000.0,10617423,57513.49,184.6075243,3.1,3.1,4.6,12.6,9.4,7.6,7.6,5.7,6.3,4.5,5.7,5.6,0.52,0.313,0.098,0.041,0.002,0.001,0.025,14.3,19.5,48.7,61980.0,13.3
HI,2020-02-26,0,0,0,0,-21,-7,-28,-28,2.0,2.0,9.0,-1.0,1.0,0.0,Leisure and Hospitality,127.6,No,No,No,77765.0,AllD,5.0,D,27.5,50.9,700228.0,468932.0,67.0,97951.0,14.0,45326.0,6.5,31742.0,4.5,22925.0,3.3,33352.0,4.8,27.4,58.49872048,17.0,21.32949478,54.16666667,100.0,21.32949478,30.0,32.39,10.1,0.311824637,0.0,54.16666667,11.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97281700000.0,1415872,6422.63,220.4505008,2.7,2.7,2.4,23.8,23.5,13.4,13.5,13.0,15.0,14.2,10.4,9.3,0.204,0.012,0.103,0.394,0.001,0.102,0.184,19.0,17.8,50.0,83102.0,9.3
IA,2020-02-26,0,0,0,0,-21,-20,nan,nan,7.0,10.0,6.0,5.0,4.0,-1.0,Trade Transportation and Utilities,308.2,No,No,No,58570.0,Tie,3.0,R,19.1,30.5,1583271.0,1285034.0,81.2,131548.0,8.3,17435.0,1.1,51801.0,3.3,22181.0,1.4,75272.0,4.8,19.1,24.45636696,40.0,15.73021198,24.30555556,33.33333333,15.73021198,39.0,24.3,7.25,0.298353909,0.0,24.30555556,35.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194789000000.0,3155070,55857.13,56.48464216,2.8,2.8,3.3,11.0,10.2,8.4,6.8,6.3,4.8,3.7,3.8,3.1,0.853,0.039,0.063,0.023,0.003,0.001,0.019,17.5,19.0,49.8,61691.0,11.2
ID,2020-02-26,0,0,0,0,-21,-16,-28,-28,9.0,8.0,24.0,7.0,3.0,-1.0,Trade Transportation and Utilities,145.7,No,No,No,52225.0,AllD,5.0,R,20.3,56.3,757408.0,595426.0,78.6,75430.0,10.0,5418.0,0.7,19434.0,2.6,15694.0,2.1,46006.0,6.1,20.7,19.99566308,45.0,9.986989242,22.22222222,27.77777778,9.986989242,48.0,25.48,7.25,0.284536892,0.0,22.22222222,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80911000000.0,1787065,82643.12,21.62388109,2.8,2.7,2.5,11.8,9.0,5.8,5.1,4.2,6.1,5.5,4.9,4.4,0.816,0.007,0.129,0.012,0.009,,0.026,16.2,20.7,50.3,60999.0,11.2
IL,2020-02-26,2,0,0,0,-21,-12,-24,-24,0.0,-1.0,-3.0,-1.0,-1.0,1.0,Trade Transportation and Utilities,1206.2,No,No,No,62992.0,AllD,5.0,D,29.1,49.6,6124144.0,4476231.0,73.1,486708.0,7.9,578636.0,9.4,182578.0,3.0,109262.0,1.8,290729.0,4.7,29.0,63.40785708,15.0,45.77912679,44.44444444,100.0,45.77912679,18.0,26.57,8.25,0.310500565,1.0,44.44444444,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897124000000.0,12671821,55518.93,228.2432496,3.5,3.4,4.2,17.2,15.3,14.5,11.5,11.0,10.4,7.4,6.9,7.6,0.609,0.136,0.176,0.056,0.001,0.001,0.022,16.1,18.3,49.1,69187.0,11.5
IN,2020-02-26,0,0,0,0,-21,-9,-28,-28,1.0,-3.0,-7.0,2.0,-1.0,2.0,Trade Transportation and Utilities,602,No,No,No,54181.0,MostR,2.0,R,23.0,40.1,3107072.0,2578594.0,83.0,272480.0,8.8,31522.0,1.0,64980.0,2.1,42893.0,1.4,116603.0,3.8,23.6,38.11528584,29.0,17.12363528,30.55555556,66.66666667,17.12363528,34.0,24.03,7.25,0.301706201,0.0,30.55555556,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377104000000.0,6732219,35826.11,187.913759,3.1,3.1,3.0,17.5,12.3,11.1,7.9,6.4,6.3,5.5,5.1,4.3,0.786,0.092,0.072,0.024,0.002,,0.023,16.1,19.3,49.3,57603.0,11.9
KS,2020-02-26,0,0,0,0,-21,-15,nan,-33,12.0,7.0,12.0,5.0,4.0,-2.0,Trade Transportation and Utilities,268.2,No,No,No,56422.0,AllR,1.0,R,19.7,42.4,1422992.0,1169866.0,82.2,129959.0,9.1,6898.0,0.5,33452.0,2.4,19435.0,1.4,63382.0,4.5,19.3,23.47473419,41.0,14.86864702,22.22222222,33.33333333,14.86864702,41.0,24.47,7.25,0.296281161,0.0,22.22222222,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173143000000.0,2913314,81758.72,35.63306764,3.1,3.1,2.8,11.9,10.0,7.5,7.2,6.9,5.9,5.0,5.1,3.8,0.757,0.055,0.122,0.028,0.006,,0.032,16.4,20.1,49.6,62087.0,11.4
KY,2020-02-26,0,0,0,0,-21,-9,-29,-29,9.0,7.0,-6.0,3.0,2.0,0.0,Trade Transportation and Utilities,400.8,No,No,No,48375.0,AllR,1.0,R,23.5,47.5,1929677.0,1584648.0,82.1,184705.0,9.6,20400.0,1.1,42943.0,2.2,27279.0,1.4,69702.0,3.6,23.3,36.45567048,30.0,17.70034476,30.55555556,61.11111111,17.70034476,32.0,23.92,7.25,0.303093645,0.0,30.55555556,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214671000000.0,4467673,39486.34,113.1447736,4.3,4.2,5.2,16.6,10.9,4.4,4.5,7.5,5.6,7.3,5.7,6.0,0.845,0.08,0.037,0.016,0.001,,0.02,16.9,18.5,49.2,52295.0,16.3
LA,2020-02-26,0,0,0,0,-21,-14,-26,-26,19.0,10.0,25.0,18.0,-8.0,0.0,Trade Transportation and Utilities,378.1,No,No,No,46145.0,AllR,1.0,R,25.4,42.1,2007599.0,1660274.0,82.7,187105.0,9.3,25582.0,1.3,36198.0,1.8,38150.0,1.9,60290.0,3.0,25.5,23.16408099,42.0,12.54779853,40.27777778,16.66666667,12.54779853,45.0,24.94,7.25,0.290697674,0.0,40.27777778,18.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,263857000000.0,4648794,43203.9,107.6012582,5.3,5.2,6.7,15.1,14.2,9.5,9.4,7.7,8.0,9.4,8.5,7.2,0.588,0.319,0.052,0.017,0.005,,0.019,16.0,19.5,48.8,51073.0,19.0
MA,2020-02-26,1,0,0,0,-21,-13,-27,-27,5.0,0.0,3.0,5.0,2.0,0.0,Education and Health Services,824.2,Yes,Yes,Yes,77385.0,AllD,5.0,D,30.2,48.5,3500223.0,2458064.0,70.2,262975.0,7.5,358143.0,10.2,171603.0,4.9,73404.0,2.1,176034.0,5.0,29.7,85.23548296,4.0,72.37311554,83.33333333,100.0,72.37311554,8.0,27.61,12.0,0.434625136,0.0,83.33333333,3.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,595559000000.0,6892503,7800.06,883.6474335,2.8,2.8,2.8,16.2,16.6,17.7,16.2,11.4,9.8,7.4,6.7,7.4,0.705,0.07,0.124,0.067,0.002,0.001,0.032,17.0,16.1,48.5,85843.0,9.4
MD,2020-02-26,0,0,0,0,-21,-8,-26,-33,3.0,1.0,-2.0,1.0,2.0,0.0,Government,504.2,No,Yes,Yes,80776.0,AllD,5.0,D,30.7,49.9,3021967.0,2233034.0,73.9,273373.0,9.0,258397.0,8.6,70350.0,2.3,44388.0,1.5,142425.0,4.7,32.9,70.55348996,13.0,58.88269209,52.77777778,100.0,58.88269209,12.0,29.53,10.1,0.342025059,1.0,52.77777778,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,428339000000.0,6045680,9707.24,622.8011258,3.3,3.3,3.3,10.1,10.0,8.3,7.8,7.0,7.6,7.7,6.8,6.3,0.499,0.296,0.106,0.064,0.002,,0.032,15.9,18.3,48.4,86738.0,9.0
ME,2020-02-26,0,0,0,0,-21,-18,-28,-35,12.0,9.0,8.0,12.0,2.0,-1.0,Education and Health Services,130.2,No,No,Yes,56277.0,AllD,5.0,D,22.9,38.2,651799.0,511466.0,78.5,62978.0,9.7,4159.0,0.6,25602.0,3.9,10069.0,1.5,37525.0,5.8,24.0,83.98770175,5.0,97.79643857,54.16666667,100.0,97.79643857,2.0,25.25,11.0,0.435643564,1.0,54.16666667,11.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67518600000.0,1344212,30842.92,43.58251424,3.1,3.2,3.0,10.4,9.4,6.7,9.9,7.0,6.1,5.4,4.9,4.9,0.932,0.014,0.017,0.011,0.007,,0.019,21.3,14.9,48.8,58924.0,10.9
MI,2020-02-26,0,0,0,0,-21,-35,-26,-27,-8.0,-9.0,-12.0,1.0,-11.0,5.0,Trade Transportation and Utilities,805.6,No,No,Yes,54909.0,MostD,4.0,R,24.4,43.2,4504994.0,3714050.0,82.4,396427.0,8.8,61568.0,1.4,101150.0,2.2,56802.0,1.3,174997.0,3.9,24.5,38.38044125,28.0,54.03021263,27.77777778,33.33333333,54.03021263,13.0,24.2,9.45,0.390495868,0.0,27.77777778,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541551000000.0,9986857,56538.9,176.6369172,3.8,3.6,4.3,24.0,21.3,14.9,8.7,8.7,8.6,6.1,7.0,7.5,0.749,0.134,0.053,0.032,0.005,,0.027,17.7,17.7,49.2,59584.0,13.0
MN,2020-02-26,0,0,0,0,-21,-16,nan,-31,6.0,2.0,-1.0,6.0,2.0,-1.0,Education and Health Services,549.1,No,No,No,68388.0,AllD,5.0,D,23.7,37.9,2879806.0,2243581.0,77.9,244564.0,8.5,103390.0,3.6,78319.0,2.7,47012.0,1.6,162940.0,5.7,23.5,74.11829487,10.0,73.74377349,48.61111111,100.0,73.74377349,7.0,26.1,9.86,0.377777778,1.0,48.61111111,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380855000000.0,5639632,79626.74,70.82585574,3.2,3.1,2.9,8.7,9.9,8.6,7.6,7.4,5.9,4.6,4.5,4.4,0.791,0.064,0.056,0.049,0.009,,0.03,16.3,19.2,49.7,74593.0,9.0
MO,2020-02-26,0,0,0,0,-21,-16,nan,-40,13.0,2.0,-14.0,8.0,4.0,-2.0,Trade Transportation and Utilities,543.1,No,No,No,53578.0,AllR,1.0,R,23.8,49.1,2855663.0,2338107.0,81.9,250024.0,8.8,40311.0,1.4,55495.0,1.9,33976.0,1.2,137750.0,4.8,23.6,40.22631361,26.0,31.79005195,22.22222222,66.66666667,31.79005195,26.0,25.52,8.6,0.336990596,0.0,22.22222222,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332082000000.0,6137428,68741.52,89.28269261,3.5,3.5,3.9,10.2,10.1,7.8,6.9,7.0,4.8,4.6,4.5,5.8,0.794,0.112,0.043,0.021,0.004,0.001,0.026,17.2,18.6,49.0,57409.0,12.9
MS,2020-02-26,0,0,0,0,-21,-17,-37,-37,22.0,8.0,9.0,15.0,-1.0,-1.0,Government,243.7,No,No,No,43529.0,AllR,1.0,R,23.0,38.6,1215697.0,1037238.0,85.3,111401.0,9.2,3393.0,0.3,17028.0,1.4,18858.0,1.6,27779.0,2.3,24.6,7.180489298,50.0,15.98591234,0.0,5.555555556,15.98591234,37.0,24.25,7.25,0.298969072,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118780000000.0,2976149,46923.27,63.42586525,5.5,5.4,5.1,16.3,10.5,8.8,9.4,7.8,7.2,7.4,6.3,6.2,0.566,0.376,0.03,0.01,0.004,,0.014,16.4,19.5,48.2,45792.0,19.6
MT,2020-02-26,0,0,0,0,-21,-15,-31,-31,9.0,3.0,-1.0,5.0,2.0,-1.0,Trade Transportation and Utilities,96,No,No,No,53386.0,AllR,1.0,R,17.3,33.9,499849.0,378154.0,75.7,48075.0,9.6,3852.0,0.8,25889.0,5.2,11376.0,2.3,32503.0,6.5,18.0,40.05461396,27.0,29.19161964,24.30555556,66.66666667,29.19161964,27.0,25.7,8.5,0.3307393,0.0,24.30555556,35.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52169100000.0,1068778,145545.8,7.343241784,3.5,3.5,3.6,11.9,9.0,7.2,6.5,5.8,5.4,5.0,4.6,4.4,0.861,0.006,0.037,0.008,0.061,,0.028,19.5,17.6,50.3,57153.0,12.6
NC,2020-02-26,0,0,0,0,-21,-13,-33,-33,9.0,1.0,11.0,7.0,3.0,-2.0,Trade Transportation and Utilities,851.5,No,No,No,52752.0,MostR,2.0,R,24.4,41.8,4660377.0,3781646.0,81.1,434180.0,9.3,47381.0,1.0,85152.0,1.8,58980.0,1.3,253038.0,5.4,24.5,11.81737945,47.0,13.22991613,22.22222222,0.0,13.22991613,43.0,24.8,7.25,0.29233871,0.0,22.22222222,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587711000000.0,10488084,48617.91,215.724699,3.6,3.6,4.3,12.9,12.8,7.5,8.5,6.5,7.2,6.2,6.2,6.2,0.627,0.209,0.097,0.029,0.011,0.001,0.026,16.7,18.1,48.6,57341.0,13.6
ND,2020-02-26,0,0,0,0,-21,-16,nan,nan,7.0,0.0,10.0,7.0,2.0,-1.0,Trade Transportation and Utilities,92.8,No,No,No,61843.0,AllR,1.0,R,18.6,32.6,398937.0,325252.0,81.5,34507.0,8.6,2150.0,0.5,13631.0,3.4,4474.0,1.1,18923.0,4.7,17.1,21.29263895,44.0,16.65569462,30.55555556,16.66666667,16.65569462,35.0,24.12,7.25,0.300580431,0.0,30.55555556,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57036800000.0,762062,69000.8,11.04424876,2.3,2.2,2.0,9.1,9.1,7.4,6.6,5.0,4.4,4.7,4.5,4.1,0.841,0.024,0.04,0.014,0.052,,0.026,15.8,19.6,51.0,64577.0,10.6
NE,2020-02-26,13,0,3,0,-21,-16,nan,nan,10.0,6.0,15.0,6.0,2.0,-1.0,Trade Transportation and Utilities,198.6,No,No,No,59970.0,AllR,1.0,R,18.8,33.6,980914.0,803715.0,81.9,88467.0,9.0,6531.0,0.7,26141.0,2.7,12516.0,1.3,43544.0,4.4,18.6,49.47375558,22.0,42.86571119,38.88888889,66.66666667,42.86571119,21.0,24.75,9.0,0.363636364,0.0,38.88888889,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127037000000.0,1934408,76824.17,25.17967978,2.9,2.9,4.0,8.7,5.3,5.5,4.9,4.0,3.6,3.0,3.0,3.0,0.785,0.048,0.113,0.024,0.008,,0.021,16.1,20.6,50.0,63229.0,9.9
NH,2020-02-26,0,0,0,0,-21,-16,-31,-31,8.0,1.0,-1.0,6.0,-10.0,1.0,Trade Transportation and Utilities,138.5,No,No,No,73381.0,AllD,5.0,D,24.4,33.7,707037.0,571653.0,80.9,55820.0,7.9,5806.0,0.8,19003.0,2.7,9493.0,1.3,45262.0,6.4,27.3,49.36289059,23.0,9.894227319,38.19444444,100.0,9.894227319,49.0,25.5,7.25,0.284313725,0.0,38.19444444,22.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,88595000000.0,1359711,8952.65,151.8780473,2.6,2.6,2.4,17.1,15.4,9.2,8.0,6.6,5.8,4.2,3.9,4.0,0.898,0.013,0.039,0.026,,,0.021,18.6,15.2,49.5,77933.0,7.3
NJ,2020-02-26,0,0,0,0,-21,-12,-24,-24,3.0,1.0,0.0,2.0,2.0,0.0,Trade Transportation and Utilities,893.7,Yes,Yes,Yes,80088.0,AllD,5.0,D,28.7,50.2,4303118.0,3071526.0,71.4,344699.0,8.0,494549.0,11.5,125663.0,2.9,78251.0,1.8,188430.0,4.4,31.7,71.79705545,12.0,37.61338857,77.77777778,100.0,37.61338857,24.0,28.49,10.0,0.351000351,0.0,77.77777778,6.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,644841000000.0,8882190,7354.22,1207.767785,3.8,3.8,3.7,16.3,15.4,16.8,14.2,11.1,6.7,8.0,10.2,7.6,0.545,0.124,0.21,0.096,0.001,,0.024,16.6,18.0,48.9,85751.0,9.2
NM,2020-02-26,0,0,0,0,-21,-14,-27,-27,12.0,9.0,6.0,6.0,3.0,-1.0,Government,189.7,No,No,No,46744.0,MostD,4.0,D,22.1,36.9,880271.0,706167.0,80.2,88207.0,10.0,10139.0,1.2,18023.0,2.0,15267.0,1.7,42468.0,4.8,22.1,56.91178131,18.0,40.17978837,30.55555556,100.0,40.17978837,23.0,25.25,7.5,0.297029703,1.0,30.55555556,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104002000000.0,2096829,121298.15,17.28657032,4.8,4.8,6.3,11.9,9.1,8.4,12.7,11.4,9.9,8.1,7.2,8.2,0.367,0.017,0.495,0.016,0.087,,0.018,18.0,18.8,49.4,51945.0,18.2
NV,2020-02-26,0,0,0,0,-21,-15,nan,-34,9.0,6.0,12.0,6.0,2.0,-1.0,Leisure and Hospitality,356.4,No,No,Yes,58003.0,MostD,4.0,D,23.9,57.2,1351950.0,1056958.0,78.2,139518.0,10.3,46574.0,3.4,25750.0,1.9,29612.0,2.2,53538.0,4.0,24.3,32.64858814,33.0,28.50131998,36.11111111,33.33333333,28.50131998,28.0,25.07,8.25,0.32907858,0.0,36.11111111,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177615000000.0,3080156,109781.18,28.05723167,3.6,3.6,6.9,30.1,25.3,15.2,14.2,13.3,12.5,11.9,10.4,9.2,0.478,0.092,0.293,0.085,0.009,0.006,0.037,16.2,18.7,50.2,63276.0,12.5
NY,2020-02-26,0,0,0,0,-21,-10,-25,-25,4.0,3.0,-1.0,0.0,3.0,0.0,Government,"1,488.10",Yes,Yes,Yes,64894.0,AllD,5.0,D,35.0,53.1,9246571.0,4913896.0,53.1,601311.0,6.5,2591512.0,28.0,569444.0,6.2,181239.0,2.0,389169.0,4.2,33.3,73.60302802,11.0,51.36463962,69.44444444,100.0,51.36463962,16.0,28.9,11.1,0.384083045,0.0,69.44444444,10.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1731910000000.0,"19453561""",47126.4,412.7953971,3.8,3.7,4.1,15.3,14.5,15.6,15.9,12.5,9.7,9.2,8.4,8.2,0.552,0.14,0.193,0.086,0.002,,0.027,16.9,17.2,48.6,72108.0,13.0
OH,2020-02-26,0,0,0,0,-21,-12,-27,-27,6.0,2.0,-3.0,3.0,1.0,0.0,Trade Transportation and Utilities,"1,028.40",No,No,No,54021.0,Tie,3.0,R,23.5,43.0,5442764.0,4526389.0,83.2,423056.0,7.8,87570.0,1.6,121728.0,2.2,63706.0,1.2,220315.0,4.0,23.5,54.82124758,20.0,42.24152052,22.22222222,100.0,42.24152052,22.0,23.61,8.55,0.362134689,0.0,22.22222222,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698458000000.0,11689100,40860.69,286.0720169,4.1,4.1,5.8,17.6,13.9,11.0,9.0,8.9,8.3,6.1,5.7,5.5,0.786,0.122,0.04,0.023,0.001,,0.028,17.5,18.2,49.0,58642.0,13.1
OK,2020-02-26,0,0,0,0,-21,-36,-35,nan,15.0,7.0,5.0,10.0,4.0,-2.0,Government,356.6,No,No,No,50051.0,AllR,1.0,R,21.5,30.2,1748344.0,1440542.0,82.4,174462.0,10.0,7428.0,0.4,31322.0,1.8,24342.0,1.4,70248.0,4.0,21.7,26.42096103,38.0,15.37399421,30.55555556,33.33333333,15.37399421,40.0,24.37,7.25,0.297496922,0.0,30.55555556,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206058000000.0,3956971,68594.92,57.6860648,3.3,3.2,2.9,14.7,12.6,6.4,7.1,5.7,5.4,6.2,6.1,5.3,0.65,0.069,0.111,0.021,0.077,0.001,0.071,16.1,20.0,49.6,54449.0,15.2
