state_code,travel_distance_metric,visitation_metric,encounters_metric,date_converted,intervention
MN,-0.284110703,-0.260462414,-0.709183045,20200314,0
MN,-0.145402715,-0.179895991,-0.641678335,20200313,0
MN,-0.105757683,-0.112173285,-0.623510859,20200312,0
MO,-0.230944309,-0.52219805,-0.769171095,20200325,1
MO,-0.256699778,-0.5755949920000001,-0.7931883270000001,20200324,1
MO,-0.246794063,-0.5071623470000001,-0.740192801,20200323,1
MO,-0.34347896899999997,-0.5954820820000001,-0.76788304,20200322,1
MO,-0.28663778,-0.6264889020000001,-0.850200947,20200321,1
MO,-0.225350324,-0.617967865,-0.737666528,20200320,1
MO,-0.15895020099999999,-0.46588977,-0.649514821,20200319,1
MO,-0.069344952,-0.329127487,-0.595126784,20200318,0
MO,-0.044131523,-0.23195789999999997,-0.498730155,20200317,0
MO,-0.083981968,-0.17589830399999998,-0.411985751,20200316,0
MO,-0.09482611099999999,-0.19296591899999999,-0.48898075700000004,20200315,0
MO,-0.213356011,-0.23963919399999997,-0.236823835,20200314,0
MO,-0.059849735999999994,-0.042244202,-0.057966610999999994,20200313,0
MO,-0.026841081,0.01810459,-0.048610457,20200312,0
MS,-0.189939793,-0.431533559,-0.783963904,20200325,1
MS,-0.23257188199999998,-0.465442419,-0.793040062,20200324,1
MS,-0.22959724899999998,-0.43978554299999995,-0.7744629940000001,20200323,1
MS,-0.387533409,-0.537328276,-0.838495867,20200322,1
MS,-0.367534536,-0.603430249,-0.896917944,20200321,1
MS,-0.294266116,-0.600098541,-0.78638239,20200320,1
MS,-0.132313664,-0.416815461,-0.667151422,20200319,1
MS,-0.056991828,-0.267928517,-0.650266694,20200318,0
MS,-0.0519658,-0.19198681199999998,-0.607698803,20200317,0
MS,-0.03673418,-0.114778684,-0.541262781,20200316,0
MS,-0.033671247,-0.11715272300000001,-0.593235896,20200315,0
MS,-0.10711443,-0.186114258,-0.356500972,20200314,0
MS,-0.041811046,-0.036980877999999995,-0.27961384899999997,20200313,0
MS,0.059078900999999996,0.045376199000000006,-0.348172298,20200312,0
MT,-0.227443549,-0.506089493,-0.99333085,20200325,1
MT,-0.214262678,-0.48814060600000003,-0.9930204220000001,20200324,1
MT,-0.260835566,-0.48986462700000005,-0.99298452,20200323,1
MT,-0.255094083,-0.573137942,-0.994806565,20200322,1
MT,-0.229830477,-0.655190814,-0.995772998,20200321,1
MT,-0.227319548,-0.618884615,-0.9934319970000001,20200320,1
MT,-0.168034355,-0.507365547,-0.992209848,20200319,1
MT,-0.141518386,-0.401038224,-0.9908879490000001,20200318,0
MT,-0.08038472,-0.301571591,-0.9903611459999999,20200317,0
MT,-0.18810927,-0.109895711,-0.987802587,20200316,0
MT,-0.22521992600000001,-0.253200562,-0.989730078,20200315,0
MT,-0.348996509,-0.237605273,-0.985322065,20200314,0
MT,-0.203143678,-0.11538858800000001,-0.97629665,20200313,0
MT,-0.152558706,-0.031467714,-0.977415502,20200312,0
NC,-0.240617225,-0.449169549,-0.432945511,20200325,1
NC,-0.246898245,-0.465569426,-0.475036498,20200324,1
NC,-0.277917818,-0.468684936,-0.485129673,20200323,1
NC,-0.377647106,-0.513396022,-0.555915434,20200322,1
NC,-0.33632008,-0.553745206,-0.695445603,20200321,1
NC,-0.232353965,-0.55930905,-0.48652682799999997,20200320,1
NC,-0.122628501,-0.413212323,-0.299361778,20200319,1
NC,-0.101855569,-0.359391539,-0.25523169,20200318,0
NC,-0.086807034,-0.251651312,-0.081073504,20200317,0
NC,-0.096597379,-0.177050793,-0.002967642,20200316,0
NC,-0.141378751,-0.17028026699999999,-0.099097835,20200315,0
NC,-0.19404858,-0.206560193,0.412648361,20200314,0
NC,-0.086575141,-0.09648143,0.7672368070000001,20200313,0
NC,0.0074844280000000004,-0.020254924,0.7572858579999999,20200312,0
ND,-0.256276257,-0.488332375,-0.982686941,20200325,1
ND,-0.278325371,-0.5149200420000001,-0.98208904,20200324,1
ND,-0.292201938,-0.483406879,-0.981690666,20200323,1
ND,-0.403421628,-0.610420275,-0.9870978509999999,20200322,1
ND,-0.426888738,-0.6698204879999999,-0.990015255,20200321,1
ND,-0.348723245,-0.628294908,-0.9836718790000001,20200320,1
ND,-0.301805098,-0.47659538799999995,-0.977419651,20200319,1
ND,-0.20639132300000002,-0.30907332,-0.973653577,20200318,0
ND,-0.17347617899999998,-0.236125726,-0.97081349,20200317,0
ND,-0.19746604899999998,-0.195618458,-0.96723742,20200316,0
ND,-0.250153112,-0.205654305,-0.969181449,20200315,0
ND,-0.328915014,-0.178350542,-0.94830683,20200314,0
ND,-0.18273868199999999,-0.13560165,-0.944760009,20200313,0
ND,-0.139748646,-0.054406657000000004,-0.9392090740000001,20200312,0
NE,-0.23035993300000002,-0.434435234,-0.9310866740000001,20200325,1
NE,-0.24626409800000001,-0.46357029999999994,-0.932605971,20200324,1
NE,-0.281919855,-0.469214158,-0.934649893,20200323,1
NE,-0.386244222,-0.55453343,-0.943152453,20200322,1
NE,-0.376203496,-0.606486935,-0.960226411,20200321,1
NE,-0.379652925,-0.640366932,-0.939301872,20200320,1
NE,-0.32555421,-0.5049698189999999,-0.918499732,20200319,1
NE,-0.175914102,-0.381725032,-0.9080176059999999,20200318,0
NE,-0.155912675,-0.321461147,-0.896781941,20200317,0
NE,-0.17051496300000002,-0.217683829,-0.881779807,20200316,0
NE,-0.176898584,-0.250638766,-0.890733676,20200315,0
NE,-0.37567863100000004,-0.33011919,-0.8664078270000001,20200314,0
NE,-0.23213752199999999,-0.100764635,-0.814074994,20200313,0
NE,-0.111102373,0.021916632999999998,-0.802472539,20200312,0
NH,-0.38123948399999996,-0.541456322,-0.853184956,20200325,1
NH,-0.375234035,-0.535567964,-0.8648902509999999,20200324,1
NH,-0.41780766799999997,-0.544644151,-0.8376879779999999,20200323,1
NH,-0.47065821,-0.561717815,-0.81750993,20200322,1
NH,-0.451483509,-0.585964075,-0.86889336,20200321,1
NH,-0.399956355,-0.608729565,-0.815510996,20200320,1
NH,-0.320576447,-0.5065903970000001,-0.79742449,20200319,1
NH,-0.253625934,-0.384865225,-0.762102422,20200318,0
NH,-0.22950772100000003,-0.304227075,-0.7444020729999999,20200317,0
NH,-0.19684468800000002,-0.20438402600000002,-0.6878063879999999,20200316,0
