State,Abbreviation,state_code,Largest Employer,Type of Industry,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2018Q1P,2018Q2P,2018Q3P,2018Q4P,2019Q1P,2019Q2P,2019Q3P,2019Q4P,Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Reference(Paid Sick Leave),Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,federal_family_first_act_date,cumulative_cases_at_ff_act,cumulative_deaths_at_ff_act,new_cases_since_week_before_ff_act,new_death_since_week_before_ff_act,weekly_avg_change_in_avg_distance_after_federal_ff_act,weekly_avg_change_in_visitation_after_federal_ff_act,weekly_avg_change_in_encounter_after_federal_ff_act,state_emerg_date,cumulative_cases_at_state_emerg,cumulative_deaths_at_state_emerg,new_cases_since_week_before_state_emerg,new_death_since_week_before_state_emerg,weekly_avg_change_in_avg_distance_after_state_emerg,weekly_avg_change_in_visitation_after_state_emerg,weekly_avg_change_in_encounter_after_state_emerg,statewide_neb_closure_date,cumulative_cases_at_neb_closure,cumulative_deaths_at_neb_closure,new_cases_since_week_before_neb_closure,new_death_since_week_before_neb_closure,weekly_avg_change_in_avg_distance_after_neb_closure,weekly_avg_change_in_visitation_after_neb_closure,weekly_avg_change_in_encounter_after_neb_closure,statewide_stay_at_home_date,cumulative_cases_at_stay_at_home_order,cumulative_deaths_at_stay_at_home_order,new_cases_since_week_before_stay_at_home_order,new_death_since_week_before_stay_at_home_order,weekly_avg_change_in_avg_distance_after_stay_at_home_order,weekly_avg_change_in_visitation_after_stay_at_home_order,weekly_avg_change_in_encounter_after_stay_at_home_order
Maryland,Md.,MD,Lockheed Martin Corporation,Defense,Government,504.2,405573,412085,414704,417976,422247,426407,430388,434312,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,No,Yes,Yes,4.0,3.3,2.8,80776,20200318,85,1,72,1,-0.375371613,-0.586612401,-0.08384776599999999,20200305,3,0,3,0,-0.027054788,-0.065174371,2.98772998,20200323,290,3,251,3,-0.423357891,-0.599927057,-0.105547495,20200330,1414,15,1124,12,-0.470985153,-0.654967595,-0.201997989
Massachusetts,Mass.,MA,General Electric Company,Conglomerate,Education & Health Services,824.2,558472,568220,573506,577754,586347,592588,599092,604208,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,Yes,Yes,Yes,,2.8,3.6,77385,20200318,256,0,161,0,-0.455304886,-0.630031314,-0.246200387,20200310,92,0,90,0,-0.21444801,-0.289870626,1.3695765969999998,20200324,1159,11,941,11,-0.518028253,-0.662933694,-0.336401185,20200324,1159,11,941,11,-0.518028253,-0.662933694,-0.336401185
Michigan,Mich.,MI,Ford (NYSE: F),Auto manufacturing,"Trade, Transportation, and Utilities",805.6,519926,526009,530614,531835,534427,539232,543977,548567,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5,No,No,Yes,3.0,3.8,3.1,54909,20200318,80,1,78,1,-0.38392455299999995,-0.6099871339999999,-0.754111602,20200401,9293,336,6999,293,-0.517385335,-0.686648363,-0.745643243,20200323,1324,16,1270,16,-0.507537612,-0.693639083,-0.81843041,20200324,1791,24,1726,24,-0.51036929,-0.686011112,-0.815898423
Minnesota,Minn.,MN,UnitedHealth Group Incorporated,Health care,Education & Health Services,549.1,360357,367676,372695,374682,375032,379387,383094,385907,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,No,No,No,5.0,3.2,5.4,68388,20200318,77,0,72,0,-0.381074439,-0.59766894,-0.89831648,20200313,14,0,13,0,-0.257892346,-0.385621747,-0.8130552670000001,nan,nan,nan,nan,nan,nan,nan,nan,20200328,441,5,303,4,-0.484576736,-0.630935584,-0.905212611
Mississippi,Miss.,MS,"Sanderson Farms, Inc.",Poultry farms,Government,243.7,112674,114940,115471,116252,116930,118263,119497,120429,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,No,No,No,,5.5,3.5,43529,20200318,34,0,33,0,-0.261965236,-0.49920486399999997,-0.791487798,20200314,6,0,6,0,-0.139068196,-0.330312998,-0.677559419,20200403,1358,29,779,21,-0.492065717,-0.669200103,-0.816902859,20200403,1358,29,779,21,-0.492065717,-0.669200103,-0.816902859
Missouri,Mo.,MO,Express Scripts Holding Company,Health care,"Trade, Transportation, and Utilities",543.1,312514,319013,321184,322972,326694,330532,334286,336816,1.5,1.6,1.5,1.5,1.5,1.5,1.6,1.6,No,No,No,,3.5,3.5,53578,20200318,21,1,20,1,-0.249836489,-0.55868343,-0.7582596509999999,20200313,4,0,4,0,-0.127134441,-0.32192092,-0.5169755189999999,nan,nan,nan,nan,nan,nan,nan,nan,20200406,2722,56,1672,43,nan,nan,nan
Montana,Mont.,MT,"Glacier Bancorp, Inc.",Banking,"Trade, Transportation, and Utilities",96,49190,50111,50615,51390,51326,51933,52470,52948,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,No,No,No,,3.5,2.9,53386,20200318,12,0,12,0,-0.22611717899999997,-0.548381949,-0.993651029,20200312,0,0,0,0,-0.19362954899999998,-0.275152214,-0.98751576,20200328,147,1,118,1,-0.367895318,-0.600861099,-0.993960888,20200328,147,1,118,1,-0.367895318,-0.600861099,-0.993960888
Nebraska,Nebr.,NE,Berkshire Hathaway Inc.,Conglomerate,"Trade, Transportation, and Utilities",198.6,123942,124053,123226,124690,124786,126322,127941,129098,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,No,No,No,,3.9,3.6,59970,20200318,43,0,20,0,-0.318028391,-0.524796687,-0.937074715,20200313,27,0,13,0,-0.251446584,-0.378137816,-0.9002174940000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nevada,Nev.,NV,Las Vegas Sands Corp.,Casinos and resorts,Leisure & Hospitality,356.4,165443,167929,170349,173518,174569,176862,178622,180406,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,No,No,Yes,3.0,3.6,3.6,58003,20200318,82,1,75,1,-0.479394369,-0.719749414,-0.952219934,20200312,11,0,9,0,-0.18428622,-0.35563058399999997,-0.825800117,20200321,165,2,144,2,-0.504449311,-0.715829216,-0.948408692,20200331,1113,26,798,20,-0.522821958,-0.719722858,-0.941336488
New Hampshire,N.H.,NH,"C&S Wholesale Grocers, Inc.",Grocery,"Trade, Transportation, and Utilities",138.5,83379,84269,85133,85075,87244,88147,89152,89836,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,No,No,No,,2.6,3.8,73381,20200318,39,0,34,0,-0.402422244,-0.5549528979999999,-0.8364431370000001,20200313,7,0,5,0,-0.276658571,-0.341413039,-0.7047246859999999,20200328,214,2,149,2,-0.472605249,-0.592268684,-0.844733171,20200328,214,2,149,2,-0.472605249,-0.592268684,-0.844733171
New Jersey,N.J.,NJ,Johnson & Johnson,Consumer products,"Trade, Transportation, and Utilities",893.7,612202,620066,625747,629996,636068,641902,648984,652412,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Yes,Yes,Yes,,3.8,4.8,80088,20200318,427,5,404,4,-0.45748768799999995,-0.69303758,0.651187349,20200309,11,0,11,0,-0.161778103,-0.211938028,6.391116895,20200321,1336,16,1261,14,-0.498137182,-0.714078689,0.553824434,20200321,1336,16,1261,14,-0.498137182,-0.714078689,0.553824434
New Mexico,N.M.,NM,"PNM Resources, Inc.",Utilities,Government,189.7,97489,99742,101586,102370,102579,103814,104349,105263,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,No,No,No,,4.8,3.7,46744,20200318,28,0,24,0,-0.21273864,-0.517710174,-0.9805947509999999,20200311,4,0,4,0,-0.066937346,-0.178568915,-0.9564505609999999,20200324,100,0,77,0,-0.315925938,-0.578357482,-0.983360926,20200324,100,0,77,0,-0.315925938,-0.578357482,-0.983360926
New York,N.Y.,NY,Verizon Communications Inc.,Telecommunications,Government,"1,488.10",1643466,1668085,1683970,1679944,1707520,1727703,1740745,1751674,8.2,8.1,8.1,8.0,8.1,8.1,8.1,8.1,Yes,Yes,Yes,6.0,3.8,3.6,64894,20200318,2382,27,2165,27,-0.470706395,-0.6539479029999999,-0.25250255,20200307,89,0,89,0,-0.120608365,-0.13306908,3.112280492,20200320,7102,57,6681,57,-0.506894506,-0.671941543,-0.351368811,20200322,15168,122,14436,116,-0.532582471,-0.690501134,-0.384451227
North Carolina,N.C.,NC,Bank of America Corporation,Banking,"Trade, Transportation, and Utilities",851.5,552000,563371,566923,572469,578700,585050,590711,596383,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,No,No,No,,3.6,2.2,52752,20200318,66,0,58,0,-0.262054706,-0.489012359,-0.49005161799999997,20200310,7,0,6,0,-0.079291242,-0.155386819,0.388020065,20200330,1304,6,1001,6,-0.357147087,-0.548559249,-0.494430569,20200330,1304,6,1001,6,-0.357147087,-0.548559249,-0.494430569
North Dakota,N.D.,ND,"MDU Resources Group, Inc.","Utilities, energy, construction","Trade, Transportation, and Utilities",92.8,54380,55963,57018,56968,56609,57031,57106,57400,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,No,No,No,,2.3,4.2,61843,20200318,7,0,6,0,-0.329663182,-0.553112908,-0.983524469,20200313,1,0,1,0,-0.25813286,-0.318530378,-0.9700406140000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
